#TestingRelease, Classifier, Precision, Recall, AUC, Kappa
4,IBK,0.673478,0.907440,0.384007,0.663442
4,Random Forest,0.840984,0.901582,0.698609,0.925704
4,Naive Bayes,0.693017,0.924429,0.439775,0.758467
4,IBK,0.721554,0.913884,0.497162,0.793741
4,Random Forest,0.593750,0.934974,0.162630,0.659542
4,Naive Bayes,0.593750,0.934974,0.162630,0.659542
4,IBK,0.593750,0.934974,0.162630,0.659542
4,Random Forest,0.639478,0.926626,0.302572,0.705676
4,Naive Bayes,0.629577,0.930756,0.275380,0.696277
4,IBK,0.650722,0.924429,0.332920,0.724459
5,Random Forest,0.759259,0.071304,0.041327,0.556278
5,Naive Bayes,0.759259,0.035652,0.020584,0.542488
5,IBK,0.715596,0.090435,0.044611,0.537305
5,Random Forest,0.838951,0.389565,0.287713,0.737249
5,Naive Bayes,0.642918,0.659130,0.228291,0.639654
5,IBK,0.649699,0.562319,0.202649,0.612111
5,Random Forest,0.590255,0.926957,0.177801,0.599604
5,Naive Bayes,0.590255,0.926957,0.177801,0.599604
5,IBK,0.590255,0.926957,0.177801,0.599604
5,Random Forest,0.612567,0.792609,0.207365,0.613676
5,Naive Bayes,0.606224,0.819826,0.198605,0.610479
5,IBK,0.611376,0.744638,0.190623,0.606257
6,Random Forest,0.798438,0.920721,0.666299,0.909167
6,Naive Bayes,0.663091,0.946847,0.418302,0.691475
6,IBK,0.695057,0.945946,0.491376,0.774529
6,Random Forest,0.812403,0.944144,0.706645,0.929699
6,Naive Bayes,0.670267,0.950450,0.437286,0.779640
6,IBK,0.707383,0.949550,0.519933,0.824190
6,Random Forest,0.570499,0.947748,0.153916,0.646261
6,Naive Bayes,0.570499,0.947748,0.153916,0.646261
6,IBK,0.570499,0.947748,0.153916,0.646261
6,Random Forest,0.616242,0.946847,0.295338,0.714374
6,Naive Bayes,0.606682,0.948829,0.268302,0.702110
6,IBK,0.631674,0.948649,0.338749,0.738410
7,Random Forest,0.836903,0.907143,0.711061,0.936735
7,Naive Bayes,0.673927,0.939286,0.436427,0.682986
7,IBK,0.707012,0.942262,0.511690,0.773521
7,Random Forest,0.834123,0.942857,0.737044,0.947973
7,Naive Bayes,0.679487,0.946429,0.453064,0.787942
7,IBK,0.716913,0.951190,0.537814,0.835066
7,Random Forest,0.574215,0.946429,0.159268,0.622578
7,Naive Bayes,0.574215,0.946429,0.159268,0.622578
7,IBK,0.574215,0.946429,0.159268,0.622578
7,Random Forest,0.622575,0.945536,0.307525,0.707684
7,Naive Bayes,0.612151,0.946429,0.278012,0.695807
7,IBK,0.637855,0.948810,0.350604,0.736724
8,Random Forest,0.878104,0.693405,0.576233,0.854434
8,Naive Bayes,0.666429,0.831551,0.365877,0.653531
8,IBK,0.656613,0.672608,0.274401,0.601302
8,Random Forest,0.732353,0.887701,0.527483,0.837473
8,Naive Bayes,0.641875,0.915330,0.346380,0.728317
8,IBK,0.667542,0.906714,0.404594,0.763412
8,Random Forest,0.575192,0.934046,0.158834,0.621540
8,Naive Bayes,0.575192,0.934046,0.158834,0.621540
8,IBK,0.575192,0.934046,0.158834,0.621540
8,Random Forest,0.606505,0.922460,0.252962,0.680998
8,Naive Bayes,0.599815,0.926560,0.234469,0.671602
8,IBK,0.617254,0.920380,0.282839,0.699691
9,Random Forest,0.802862,0.873702,0.662011,0.915022
9,Naive Bayes,0.631454,0.920415,0.390086,0.706510
9,IBK,0.665120,0.909458,0.457290,0.765924
9,Random Forest,0.646373,0.863322,0.397223,0.761769
9,Naive Bayes,0.581616,0.903114,0.262309,0.681506
9,IBK,0.600465,0.892734,0.306694,0.705135
9,Random Forest,0.532544,0.934256,0.126032,0.620507
9,Naive Bayes,0.532544,0.934256,0.126032,0.620507
9,IBK,0.532544,0.934256,0.126032,0.620507
9,Random Forest,0.555585,0.916522,0.193667,0.653489
9,Naive Bayes,0.550755,0.921799,0.180492,0.642775
9,IBK,0.563701,0.913495,0.216271,0.660662
10,Random Forest,0.800399,0.691379,0.529543,0.828032
10,Naive Bayes,0.606042,0.830172,0.314943,0.640179
10,IBK,0.586272,0.716667,0.235252,0.587911
10,Random Forest,0.637292,0.860345,0.392052,0.778296
10,Naive Bayes,0.572131,0.902586,0.258052,0.688810
10,IBK,0.591969,0.889655,0.303675,0.716657
10,Random Forest,0.524085,0.937931,0.126879,0.621593
10,Naive Bayes,0.524085,0.937931,0.126879,0.621593
10,IBK,0.524085,0.937931,0.126879,0.621593
10,Random Forest,0.546831,0.918534,0.192627,0.657109
10,Naive Bayes,0.541869,0.923793,0.179182,0.646054
10,IBK,0.555071,0.913793,0.214961,0.666572
11,Random Forest,0.903780,0.640682,0.445988,0.868763
11,Naive Bayes,0.768058,0.705847,0.279418,0.664898
11,IBK,0.787024,0.679659,0.301453,0.686582
11,Random Forest,0.905109,0.755177,0.556953,0.898085
11,Naive Bayes,0.776756,0.720463,0.306123,0.733782
11,IBK,0.819377,0.758831,0.417952,0.798757
11,Random Forest,0.671068,0.680877,0.030256,0.567311
11,Naive Bayes,0.671068,0.680877,0.030256,0.567311
11,IBK,0.671068,0.680877,0.030256,0.567311
11,Random Forest,0.721420,0.699452,0.170267,0.653050
11,Naive Bayes,0.711089,0.696711,0.143316,0.640910
11,IBK,0.741841,0.719854,0.228122,0.694789
12,Random Forest,0.907712,0.814059,0.600918,0.905915
12,Naive Bayes,0.803093,0.883220,0.443876,0.734612
12,IBK,0.821800,0.866213,0.477931,0.775812
12,Random Forest,0.926267,0.911565,0.749034,0.940724
12,Naive Bayes,0.820050,0.927438,0.530504,0.801632
12,IBK,0.844245,0.925926,0.592168,0.855060
12,Random Forest,0.739556,0.943311,0.273609,0.633350
12,Naive Bayes,0.739556,0.943311,0.273609,0.633350
12,IBK,0.739556,0.943311,0.273609,0.633350
12,Random Forest,0.777752,0.935374,0.409304,0.725914
12,Naive Bayes,0.769460,0.936961,0.382202,0.714317
12,IBK,0.787956,0.934618,0.442020,0.764353
13,Random Forest,0.826087,0.896817,0.496829,0.837112
13,Naive Bayes,0.777371,0.931394,0.375281,0.694884
13,IBK,0.758083,0.943652,0.310888,0.633396
13,Random Forest,0.903260,0.942920,0.734972,0.943213
13,Naive Bayes,0.816801,0.944566,0.516588,0.805781
13,IBK,0.844524,0.948042,0.599843,0.862659
13,Random Forest,0.749562,0.939627,0.273690,0.649570
13,Naive Bayes,0.749562,0.939627,0.273690,0.649570
13,IBK,0.749562,0.939627,0.273690,0.649570
13,Random Forest,0.782956,0.940450,0.402098,0.734975
13,Naive Bayes,0.775167,0.941603,0.374977,0.723221
13,IBK,0.794426,0.943835,0.444403,0.773703
14,Random Forest,0.826779,0.982202,0.590639,0.924378
14,Naive Bayes,0.774208,0.978309,0.406493,0.736313
14,IBK,0.750141,0.982944,0.310300,0.645673
14,Random Forest,0.940171,0.978865,0.861479,0.984828
14,Naive Bayes,0.832050,0.961624,0.583738,0.840865
14,IBK,0.863456,0.970708,0.679607,0.906151
14,Random Forest,0.746690,0.941046,0.270665,0.646380
14,Naive Bayes,0.746690,0.941046,0.270665,0.646380
14,IBK,0.746690,0.941046,0.270665,0.646380
14,Random Forest,0.788466,0.950501,0.435558,0.754325
14,Naive Bayes,0.779076,0.949277,0.401509,0.739457
14,IBK,0.801742,0.955877,0.484896,0.799805
15,Random Forest,0.873284,0.916851,0.637466,0.921500
15,Naive Bayes,0.792943,0.946785,0.444554,0.749553
15,IBK,0.805335,0.937177,0.476331,0.778183
15,Random Forest,0.940299,0.977827,0.859608,0.985144
15,Naive Bayes,0.833013,0.962306,0.585123,0.858814
15,IBK,0.865061,0.968958,0.679992,0.912284
15,Random Forest,0.748011,0.937916,0.270016,0.647740
15,Naive Bayes,0.748011,0.937916,0.270016,0.647740
15,IBK,0.748011,0.937916,0.270016,0.647740
15,Random Forest,0.789656,0.947894,0.434305,0.766310
15,Naive Bayes,0.780354,0.947672,0.401441,0.749657
15,IBK,0.803238,0.953437,0.484702,0.805635
16,Random Forest,0.924868,0.965746,0.810870,0.963032
16,Naive Bayes,0.823034,0.971271,0.562753,0.738476
16,IBK,0.850467,0.972007,0.643381,0.838707
16,Random Forest,0.934392,0.975691,0.844246,0.983575
16,Naive Bayes,0.832138,0.961326,0.579353,0.863372
16,IBK,0.863144,0.968692,0.673154,0.910558
16,Random Forest,0.750441,0.940331,0.277092,0.651039
16,Naive Bayes,0.750441,0.940331,0.277092,0.651039
16,IBK,0.750441,0.940331,0.277092,0.651039
16,Random Forest,0.790430,0.949171,0.434934,0.769696
16,Naive Bayes,0.781540,0.948729,0.403173,0.752099
16,IBK,0.803690,0.954512,0.484394,0.805157
17,Random Forest,0.928270,0.971302,0.825180,0.975193
17,Naive Bayes,0.818266,0.974062,0.549278,0.768326
17,IBK,0.848688,0.976085,0.642176,0.858106
17,Random Forest,0.854822,0.929360,0.604450,0.901689
17,Naive Bayes,0.792847,0.942053,0.435189,0.794725
17,IBK,0.811507,0.939294,0.493235,0.833884
17,Random Forest,0.748258,0.948124,0.269558,0.642928
17,Naive Bayes,0.748258,0.948124,0.269558,0.642928
17,IBK,0.748258,0.948124,0.269558,0.642928
17,Random Forest,0.771958,0.943433,0.361638,0.728663
17,Naive Bayes,0.765410,0.945695,0.338154,0.714262
17,IBK,0.778452,0.943709,0.385899,0.753759
18,Random Forest,0.924474,0.914853,0.710759,0.949632
18,Naive Bayes,0.836915,0.939451,0.505562,0.755086
18,IBK,0.857517,0.929991,0.559634,0.819340
18,Random Forest,0.944615,0.871334,0.691746,0.943330
18,Naive Bayes,0.849890,0.910596,0.514854,0.791238
18,IBK,0.877306,0.899716,0.578569,0.837609
18,Random Forest,0.780488,0.938505,0.287203,0.634772
18,Naive Bayes,0.780488,0.938505,0.287203,0.634772
18,IBK,0.780488,0.938505,0.287203,0.634772
18,Random Forest,0.813910,0.921712,0.408001,0.721316
18,Naive Bayes,0.806351,0.927342,0.385000,0.710781
18,IBK,0.825053,0.919111,0.444614,0.750262
